X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.104151403359,47.663394138302,980,902078,359372,902,Mr Crampy's Multisport,Mr Crampy's Multisport,17725 NE 65th ,98052
-122.317645436045,47.6796589811374,981,902031,839909,902,Perfect Wheels,Perfect Wheels,7009 Roosevelt Way NE,98115
-122.194188669201,47.5342651950359,982,902081,404774,902,Peterson Bicycle,Peterson Bicycle,1755 NE 48th St,98056
-122.317696990674,47.6531323961239,983,902038,836368,902,Recycled Cycles,Recycled Cycles,1007 NE Boat St,98105
-122.124407041743,47.6743794481724,984,902039,366886,902,Redmond Cycle,Redmond Cycle,16205 Redmond Way,98052
-122.118989134303,47.6708496277165,985,902036,537137,902,REI Bikeshop,REI,7511 166th Ave NE,98052
-122.246510883583,47.2991784218542,986,902089,711490,902,Sports Authority-Super Mall,Sports Authority,1101 Super Mall Way,98001
-122.314407954234,47.5997640530662,987,902091,440188,902,The Bikery,The Bikery,1265 S Main St,98144
-122.309736241673,47.5948421062821,988,902094,950244,902,Working Dogs Bicycles,Working Dogs Bicycles,845 Hiawatha Pl S,98144
-122.467001757475,47.4984923982146,989,660109,21166,66,Station 59,59,11983 Vashon Hwy SW,98070
-122.286944205093,47.4999847488054,990,6002948,0000000,600,Green River Trail Site - Tukwila,Green River Trail Site - Tukwila,27th Ave S and S 112th St to 69th Ave S and S 180th St,98188
-122.297037759137,47.435322995923,991,1679,186335,360,La Quinta Inn-Airport,La Quinta Inn - Airport,2824 S 188th St,98158
-122.129486428565,47.6744418200596,992,2265,0000000,530,Redmond QFC,Redmond QFC,15800  Redmond Way NE,98052
-122.329893649117,47.5987093252344,993,1482,455531,510,King Street Station,King Street Station,3rd Ave S & S Jackson,98104
-122.128792631815,47.6754982052741,994,627,0000000,690,Redmond Center,Redmond Center,15950 NE Redmond Way,98052
-122.335710160867,47.472960947308,995,1616,574256,330,Kaiser Permanente - Burien,Kaiser Permanente - Burien,140 SW 146th St,98166
-122.312425086561,47.622626432959,996,2256,441987,530,Capitol Hill QFC,Capitol Hill QFC,416 15th Ave E,98112
-122.332810063895,47.6981844219674,997,1906,251998,63,North Seattle DSHS,North Seattle DSHS,9600 College Way N,98103
-122.095769686855,47.5652373713,998,368,0000000,600,Timberlake Park,Timberlake Park,Lake Sammamish Pkwy SE & 182nd Ave S,98027
-122.269987634546,47.5233080420283,999,2731,503833,600,Rainier Beach Community Center,Rainier Beach CC,8825 Rainier Ave S,98118
-122.304353647133,47.6768070720224,1000,2733,344302,600,Ravenna-Eckstein Community Center,Ravenna CC,6535 Ravenna Ave NE,98115
-121.78847419469,47.4927365724674,1001,2741,26366,600,Mt Si Senior Center,Mt Si Senior Center,411 Main Ave S,98045
-122.322535322824,47.4084590202796,1002,2710,390188,600,Wesley Gardens,Wesley Gardens,815 S 216th St,98198
-122.325616671122,47.6416817866982,1003,1487,421323,60,Areis Bldg,Areis Bldg,2366 Eastlake Ave E,98102
-121.788690367468,47.4961370150897,1004,570135,0000000,570,North Bend P&R,North Bend P&R,W North Bend Way and Sydney Ave,98045
-122.342115688083,47.7123088739384,1005,1968,0000000,120,Bikur Cholum Cemetary,Bikur Cholum Cemetary,N 115th St & Stone Ave N,98133
-122.417491839626,47.6406078053057,1006,6007112,0000000,600,Magnolia Tidelands Park,Magnolia Tidelands Park,W Ruffner to Elliott Bay Marina,98199
-122.270983968728,47.4445147235686,1007,1318,0000000,600,Bow Lake Park,Bow Lake Park,50th Ct S & S 178th St,98188
